property_id	property_name	source	snapshot	as_of_date	year	month	status	level	metric	value
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Jan	Definite	My Hotel	REV	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Jan	Definite	My Hotel	BKGS	
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Feb	Definite	My Hotel	RN	566
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Feb	Definite	My Hotel	ADR	1413.43
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Feb	Definite	My Hotel	REV	800000
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Feb	Definite	My Hotel	BKGS	
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Mar	Definite	My Hotel	RN	564
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Mar	Definite	My Hotel	ADR	1392.16
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Mar	Definite	My Hotel	REV	785181
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Mar	Definite	My Hotel	BKGS	
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Apr	Definite	My Hotel	RN	705
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Apr	Definite	My Hotel	ADR	1230.31
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Apr	Definite	My Hotel	REV	867370
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Apr	Definite	My Hotel	BKGS	
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	May	Definite	My Hotel	RN	398
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	May	Definite	My Hotel	ADR	1208.91
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	May	Definite	My Hotel	REV	481145
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	May	Definite	My Hotel	BKGS	
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Jun	Definite	My Hotel	RN	462
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Jun	Definite	My Hotel	ADR	701.51
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Jun	Definite	My Hotel	REV	324097
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Jun	Definite	My Hotel	BKGS	
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Jul	Definite	My Hotel	RN	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Jul	Definite	My Hotel	ADR	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Jul	Definite	My Hotel	REV	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Jul	Definite	My Hotel	BKGS	
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Aug	Definite	My Hotel	RN	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Aug	Definite	My Hotel	ADR	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Aug	Definite	My Hotel	REV	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Aug	Definite	My Hotel	BKGS	
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Sep	Definite	My Hotel	RN	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Sep	Definite	My Hotel	ADR	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Sep	Definite	My Hotel	REV	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Sep	Definite	My Hotel	BKGS	
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Oct	Definite	My Hotel	RN	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Oct	Definite	My Hotel	ADR	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Oct	Definite	My Hotel	REV	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Oct	Definite	My Hotel	BKGS	
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Nov	Definite	My Hotel	RN	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Nov	Definite	My Hotel	ADR	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Nov	Definite	My Hotel	REV	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Nov	Definite	My Hotel	BKGS	
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Dec	Definite	My Hotel	RN	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Dec	Definite	My Hotel	ADR	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Dec	Definite	My Hotel	REV	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Dec	Definite	My Hotel	BKGS	
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	Jan	Prospect	My Hotel	RN	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	Jan	Prospect	My Hotel	ADR	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	Jan	Prospect	My Hotel	REV	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	Jan	Prospect	My Hotel	BKGS	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	Feb	Prospect	My Hotel	RN	147
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	Feb	Prospect	My Hotel	ADR	1154
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	Feb	Prospect	My Hotel	REV	169650
